Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Yến núi,50000000,290,Không,1.39,Thấp,10,Không,2018-01-07,Xuân,Đồng bằng,Ôn đới,42
Yến núi,51971315,267,Một phần,1.53,Trung bình,10,Không,2018-01-14,Thu,Đồng bằng,Ôn đới,28
Yến núi,54745838,484,Có,3.66,Trung bình,10,Không,2018-01-21,Thu,Đồng bằng,Nhiệt đới,41
Yến núi,53891912,354,Có,1.22,Cao,4,Không,2018-01-28,Hạ,Đồi núi,Rừng ngập mặn,83
Yến núi,58040841,383,Một phần,3.84,Trung bình,8,Không,2018-02-04,Xuân,Trung du,Ôn đới,65
Yến núi,58780463,354,Có,2.81,Thấp,4,Không,2018-02-11,Thu,Trung du,Ôn đới,43
Yến núi,66099971,244,Một phần,4.12,Trung bình,1,Không,2018-02-18,Thu,Đồi núi,Ôn đới,81
Yến núi,65144068,341,Không,4.28,Thấp,9,Không,2018-02-25,Thu,Đồng bằng,Rừng ngập mặn,31
Yến núi,68331217,304,Một phần,3.45,Trung bình,9,Không,2018-03-04,Đông,Đồng bằng,Ôn đới,46
Yến núi,76684523,205,Một phần,3.79,Cao,2,Không,2018-03-11,Thu,Đồng bằng,Ôn đới,42
Yến núi,71346051,270,Có,2.56,Cao,5,Không,2018-03-18,Xuân,Đồi núi,Nhiệt đới,20
Yến núi,84121530,65,Không,3.68,Trung bình,3,Không,2018-03-25,Xuân,Đồng bằng,Ôn đới,38
Yến núi,89753343,225,Một phần,2.17,Trung bình,1,Không,2018-04-01,Thu,Đồng bằng,Ôn đới,23
Yến núi,69299670,302,Không,2.23,Thấp,4,Không,2018-04-08,Hạ,Đồi núi,Nhiệt đới,94
Yến núi,75107697,16,Có,1.86,Cao,9,Không,2018-04-15,Xuân,Đồng bằng,Nhiệt đới,50
Yến núi,98846857,16,Một phần,1.1,Cao,7,Không,2018-04-22,Hạ,Đồi núi,Rừng ngập mặn,44
Yến núi,81356975,188,Không,2.98,Cao,2,Không,2018-04-29,Đông,Đồng bằng,Ôn đới,55
Yến núi,114282684,353,Có,2.05,Thấp,7,Không,2018-05-06,Hạ,Đồng bằng,Ôn đới,68
Yến núi,85792512,303,Một phần,3.63,Thấp,6,Không,2018-05-13,Hạ,Đồng bằng,Nhiệt đới,20
Yến núi,89140510,276,Không,1.48,Thấp,10,Không,2018-05-20,Thu,Trung du,Ôn đới,18
Yến núi,92460105,140,Một phần,4.25,Thấp,7,Không,2018-05-27,Xuân,Đồng bằng,Nhiệt đới,35
Yến núi,129293393,400,Không,2.85,Trung bình,2,Không,2018-06-03,Thu,Trung du,Rừng ngập mặn,56
Yến núi,96529425,351,Có,4.04,Thấp,3,Không,2018-06-10,Hạ,Đồi núi,Nhiệt đới,65
