Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Cắt nhỏ bụng vàng,40000,299,Có,1.79,Thấp,1,Không,2018-01-07,Hạ,Đồng bằng,Rừng ngập mặn,66
Cắt nhỏ bụng vàng,40100,77,Có,3.0,Cao,4,Không,2018-01-14,Hạ,Đồng bằng,Rừng ngập mặn,70
Cắt nhỏ bụng vàng,40200,47,Có,4.74,Trung bình,4,Không,2018-01-21,Hạ,Đồng bằng,Nhiệt đới,22
Cắt nhỏ bụng vàng,40300,469,Có,2.66,Thấp,7,Không,2018-01-28,Thu,Trung du,Ôn đới,30
Cắt nhỏ bụng vàng,40401,333,Có,2.32,Thấp,3,Không,2018-02-04,Hạ,Đồi núi,Nhiệt đới,85
Cắt nhỏ bụng vàng,40502,265,Một phần,2.0,Thấp,5,Không,2018-02-11,Đông,Đồng bằng,Ôn đới,25
Cắt nhỏ bụng vàng,40603,44,Một phần,2.59,Trung bình,1,Không,2018-02-18,Thu,Trung du,Nhiệt đới,50
Cắt nhỏ bụng vàng,40705,402,Không,2.55,Trung bình,9,Không,2018-02-25,Đông,Đồng bằng,Nhiệt đới,11
Cắt nhỏ bụng vàng,40807,466,Không,2.76,Trung bình,10,Không,2018-03-04,Xuân,Trung du,Ôn đới,64
Cắt nhỏ bụng vàng,40909,86,Một phần,3.92,Thấp,5,Không,2018-03-11,Xuân,Đồng bằng,Nhiệt đới,62
Cắt nhỏ bụng vàng,41011,46,Có,1.39,Cao,10,Không,2018-03-18,Đông,Trung du,Ôn đới,16
Cắt nhỏ bụng vàng,41113,230,Một phần,4.47,Trung bình,5,Không,2018-03-25,Hạ,Trung du,Ôn đới,56
Cắt nhỏ bụng vàng,41216,272,Không,2.57,Trung bình,7,Không,2018-04-01,Đông,Đồng bằng,Ôn đới,41
Cắt nhỏ bụng vàng,41319,410,Có,4.02,Thấp,7,Không,2018-04-08,Thu,Đồi núi,Nhiệt đới,70
Cắt nhỏ bụng vàng,41422,115,Không,1.69,Trung bình,1,Không,2018-04-15,Đông,Đồng bằng,Nhiệt đới,5
Cắt nhỏ bụng vàng,41526,125,Không,1.25,Cao,2,Không,2018-04-22,Xuân,Đồng bằng,Ôn đới,4
Cắt nhỏ bụng vàng,41630,160,Có,1.63,Trung bình,1,Không,2018-04-29,Đông,Đồi núi,Ôn đới,81
Cắt nhỏ bụng vàng,41734,277,Có,2.52,Cao,2,Không,2018-05-06,Xuân,Trung du,Nhiệt đới,28
Cắt nhỏ bụng vàng,41838,497,Không,2.57,Cao,4,Không,2018-05-13,Xuân,Đồng bằng,Ôn đới,72
