Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Chào mào,120000,329,Có,1.75,Thấp,1,Không,2018-01-07,Hạ,Đồng bằng,Nhiệt đới,59
Chào mào,120119,19,Không,1.26,Trung bình,8,Không,2018-01-14,Đông,Đồi núi,Ôn đới,95
Chào mào,120240,80,Một phần,1.84,Thấp,2,Không,2018-01-21,Thu,Đồi núi,Rừng ngập mặn,58
Chào mào,120360,367,Một phần,2.65,Cao,8,Không,2018-01-28,Hạ,Đồng bằng,Nhiệt đới,72
Chào mào,120480,373,Có,1.96,Cao,9,Không,2018-02-04,Xuân,Đồng bằng,Rừng ngập mặn,25
Chào mào,120601,39,Một phần,1.73,Trung bình,8,Không,2018-02-11,Đông,Đồng bằng,Rừng ngập mặn,12
Chào mào,120721,180,Không,4.9,Thấp,9,Không,2018-02-18,Xuân,Đồi núi,Rừng ngập mặn,82
Chào mào,120842,140,Có,4.26,Thấp,10,Không,2018-02-25,Thu,Trung du,Rừng ngập mặn,13
Chào mào,120963,500,Một phần,4.6,Trung bình,8,Không,2018-03-04,Hạ,Đồi núi,Ôn đới,56
Chào mào,121084,326,Một phần,1.73,Trung bình,2,Không,2018-03-11,Đông,Trung du,Nhiệt đới,58
Chào mào,121205,484,Một phần,4.56,Cao,4,Không,2018-03-18,Đông,Trung du,Rừng ngập mặn,37
Chào mào,121326,187,Không,1.7,Cao,9,Không,2018-03-25,Hạ,Đồi núi,Nhiệt đới,38
Chào mào,121447,330,Có,4.23,Cao,7,Không,2018-04-01,Hạ,Đồi núi,Rừng ngập mặn,70
Chào mào,121569,119,Có,4.3,Cao,2,Không,2018-04-08,Thu,Đồng bằng,Ôn đới,26
Chào mào,121690,191,Không,2.58,Trung bình,5,Không,2018-04-15,Đông,Đồng bằng,Nhiệt đới,39
Chào mào,121812,258,Một phần,1.78,Trung bình,4,Không,2018-04-22,Xuân,Đồi núi,Ôn đới,66
Chào mào,121934,229,Một phần,3.16,Trung bình,10,Không,2018-04-29,Hạ,Trung du,Rừng ngập mặn,56
Chào mào,122056,495,Có,1.7,Trung bình,3,Không,2018-05-06,Thu,Đồng bằng,Nhiệt đới,30
Chào mào,122178,221,Một phần,1.79,Trung bình,3,Không,2018-05-13,Xuân,Trung du,Nhiệt đới,2
Chào mào,122300,474,Có,1.4,Cao,4,Không,2018-05-20,Thu,Trung du,Ôn đới,60
Chào mào,122422,152,Một phần,2.61,Cao,7,Không,2018-05-27,Đông,Đồi núi,Ôn đới,100
Chào mào,122545,458,Có,2.22,Cao,6,Không,2018-06-03,Hạ,Trung du,Nhiệt đới,97
Chào mào,122667,418,Một phần,3.09,Thấp,2,Không,2018-06-10,Đông,Trung du,Nhiệt đới,89
Chào mào,122790,328,Một phần,4.61,Cao,10,Không,2018-06-17,Hạ,Trung du,Nhiệt đới,0
Chào mào,122913,411,Một phần,2.05,Cao,10,Không,2018-06-24,Đông,Trung du,Ôn đới,21
Chào mào,123806,109,Không,1.92,Thấp,9,Không,2018-07-01,Đông,Đồi núi,Rừng ngập mặn,52
Chào mào,123961,122,Không,3.83,Cao,6,Không,2018-07-08,Xuân,Đồi núi,Ôn đới,83
Chào mào,124116,245,Không,2.08,Trung bình,1,Không,2018-07-15,Đông,Trung du,Rừng ngập mặn,95
Chào mào,124271,245,Không,1.31,Cao,3,Không,2018-07-22,Thu,Đồi núi,Nhiệt đới,2
Chào mào,124426,174,Không,1.73,Trung bình,5,Không,2018-07-29,Thu,Đồng bằng,Rừng ngập mặn,27
Chào mào,124582,207,Không,4.45,Trung bình,3,Không,2018-08-05,Hạ,Đồi núi,Rừng ngập mặn,17
Chào mào,124738,388,Một phần,3.0,Cao,1,Không,2018-08-12,Hạ,Đồng bằng,Ôn đới,35
Chào mào,124894,134,Không,2.22,Thấp,8,Không,2018-08-19,Thu,Đồng bằng,Ôn đới,54
Chào mào,125050,29,Không,4.82,Trung bình,10,Không,2018-08-26,Xuân,Trung du,Nhiệt đới,77
Chào mào,125206,31,Một phần,2.73,Cao,3,Không,2018-09-02,Thu,Đồng bằng,Nhiệt đới,95
Chào mào,125363,87,Có,1.35,Trung bình,9,Không,2018-09-09,Thu,Đồi núi,Rừng ngập mặn,83
