Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Chích chòe,100000,484,Có,1.74,Thấp,10,Không,2018-01-07,Hạ,Trung du,Rừng ngập mặn,39
Chích chòe,100125,177,Một phần,1.93,Thấp,3,Không,2018-01-14,Hạ,Trung du,Ôn đới,21
Chích chòe,100250,285,Có,1.1,Cao,9,Không,2018-01-21,Xuân,Trung du,Nhiệt đới,83
Chích chòe,100375,260,Một phần,3.41,Cao,4,Không,2018-01-28,Xuân,Đồng bằng,Ôn đới,79
Chích chòe,100500,209,Một phần,2.47,Thấp,10,Không,2018-02-04,Hạ,Trung du,Ôn đới,97
Chích chòe,100626,485,Có,3.67,Trung bình,8,Không,2018-02-11,Xuân,Đồng bằng,Nhiệt đới,11
Chích chòe,100752,201,Có,2.42,Thấp,3,Không,2018-02-18,Thu,Đồng bằng,Rừng ngập mặn,26
Chích chòe,100878,135,Một phần,2.88,Trung bình,5,Không,2018-02-25,Hạ,Đồng bằng,Rừng ngập mặn,92
Chích chòe,101004,151,Một phần,4.41,Trung bình,4,Không,2018-03-04,Thu,Trung du,Rừng ngập mặn,35
Chích chòe,101130,435,Một phần,4.37,Thấp,7,Không,2018-03-11,Xuân,Trung du,Ôn đới,36
Chích chòe,101257,302,Không,2.58,Trung bình,4,Không,2018-03-18,Xuân,Đồng bằng,Ôn đới,83
Chích chòe,101383,303,Một phần,1.51,Trung bình,2,Không,2018-03-25,Hạ,Đồng bằng,Ôn đới,12
Chích chòe,101510,369,Một phần,4.7,Cao,4,Không,2018-04-01,Xuân,Đồng bằng,Ôn đới,59
Chích chòe,101637,141,Không,4.94,Trung bình,10,Không,2018-04-08,Hạ,Đồng bằng,Ôn đới,59
Chích chòe,101764,229,Có,1.61,Thấp,5,Không,2018-04-15,Đông,Trung du,Rừng ngập mặn,79
Chích chòe,101891,412,Có,3.05,Thấp,8,Không,2018-04-22,Hạ,Đồi núi,Rừng ngập mặn,26
Chích chòe,102018,488,Không,4.94,Trung bình,10,Không,2018-04-29,Hạ,Trung du,Rừng ngập mặn,84
Chích chòe,102146,186,Không,1.19,Thấp,10,Không,2018-05-06,Thu,Trung du,Nhiệt đới,52
Chích chòe,102274,254,Có,4.07,Trung bình,10,Không,2018-05-13,Đông,Trung du,Rừng ngập mặn,52
Chích chòe,102401,101,Có,3.64,Trung bình,9,Không,2018-05-20,Thu,Trung du,Rừng ngập mặn,33
Chích chòe,102529,417,Không,3.92,Thấp,8,Không,2018-05-27,Xuân,Đồng bằng,Ôn đới,35
Chích chòe,102658,304,Có,1.29,Thấp,1,Không,2018-06-03,Hạ,Trung du,Rừng ngập mặn,41
Chích chòe,102786,377,Một phần,1.48,Thấp,7,Không,2018-06-10,Thu,Đồi núi,Ôn đới,6
Chích chòe,102914,115,Một phần,2.74,Thấp,1,Không,2018-06-17,Xuân,Trung du,Ôn đới,35
Chích chòe,103043,436,Không,2.39,Thấp,6,Không,2018-06-24,Xuân,Đồng bằng,Ôn đới,65
Chích chòe,103818,161,Không,1.87,Thấp,8,Không,2018-07-01,Đông,Đồi núi,Nhiệt đới,64
Chích chòe,103974,361,Có,4.41,Thấp,4,Không,2018-07-08,Hạ,Đồi núi,Rừng ngập mặn,77
Chích chòe,104129,393,Không,4.61,Trung bình,1,Không,2018-07-15,Đông,Đồi núi,Rừng ngập mặn,83
Chích chòe,104286,367,Có,1.29,Trung bình,3,Không,2018-07-22,Xuân,Đồi núi,Rừng ngập mặn,33
Chích chòe,104442,120,Một phần,4.01,Thấp,7,Không,2018-07-29,Xuân,Trung du,Nhiệt đới,51
Chích chòe,104599,19,Một phần,2.01,Thấp,9,Không,2018-08-05,Thu,Đồi núi,Rừng ngập mặn,99
Chích chòe,104756,438,Không,1.74,Trung bình,4,Không,2018-08-12,Xuân,Đồi núi,Rừng ngập mặn,65
Chích chòe,104913,124,Không,2.15,Trung bình,10,Không,2018-08-19,Đông,Đồng bằng,Nhiệt đới,11
Chích chòe,105070,375,Một phần,1.74,Thấp,3,Không,2018-08-26,Xuân,Đồi núi,Nhiệt đới,0
Chích chòe,105228,344,Không,4.25,Trung bình,10,Không,2018-09-02,Hạ,Đồng bằng,Nhiệt đới,86
Chích chòe,105386,446,Không,3.11,Thấp,3,Không,2018-09-09,Hạ,Đồng bằng,Rừng ngập mặn,98
Chích chòe,105544,135,Có,4.69,Cao,7,Không,2018-09-16,Thu,Đồng bằng,Nhiệt đới,7
Chích chòe,105702,257,Có,4.58,Cao,6,Không,2018-09-23,Đông,Đồng bằng,Rừng ngập mặn,98
Chích chòe,105861,292,Có,4.02,Trung bình,7,Không,2018-09-30,Xuân,Đồng bằng,Ôn đới,11
Chích chòe,106019,204,Không,2.23,Cao,3,Không,2018-10-07,Thu,Đồi núi,Rừng ngập mặn,52
Chích chòe,106178,485,Không,1.26,Trung bình,9,Không,2018-10-14,Đông,Đồng bằng,Rừng ngập mặn,10
Chích chòe,106338,51,Không,4.69,Cao,8,Không,2018-10-21,Hạ,Đồi núi,Ôn đới,33
Chích chòe,106497,284,Có,2.91,Trung bình,4,Không,2018-10-28,Xuân,Đồng bằng,Nhiệt đới,35
Chích chòe,106657,493,Không,3.81,Cao,3,Không,2018-11-04,Thu,Trung du,Rừng ngập mặn,11
Chích chòe,106817,97,Không,4.67,Trung bình,2,Không,2018-11-11,Hạ,Trung du,Rừng ngập mặn,15
Chích chòe,106977,350,Có,4.02,Trung bình,10,Không,2018-11-18,Xuân,Trung du,Ôn đới,91
Chích chòe,107138,311,Không,1.48,Thấp,2,Không,2018-11-25,Xuân,Đồi núi,Nhiệt đới,79
Chích chòe,107298,463,Có,2.3,Trung bình,5,Không,2018-12-02,Hạ,Trung du,Nhiệt đới,36
Chích chòe,107459,168,Có,1.72,Cao,5,Không,2018-12-09,Thu,Trung du,Rừng ngập mặn,95
Chích chòe,107620,295,Có,3.34,Trung bình,2,Không,2018-12-16,Xuân,Đồi núi,Ôn đới,16
Chích chòe,107782,202,Có,2.08,Thấp,3,Không,2018-12-23,Thu,Trung du,Nhiệt đới,69
Chích chòe,107944,310,Một phần,3.65,Trung bình,5,Không,2018-12-30,Hạ,Đồi núi,Nhiệt đới,6
Chích chòe,110948,373,Không,1.65,Thấp,9,Không,2019-01-06,Đông,Đồi núi,Ôn đới,39
Chích chòe,111170,304,Có,2.33,Cao,7,Không,2019-01-13,Đông,Trung du,Ôn đới,69
Chích chòe,111392,264,Một phần,3.58,Trung bình,5,Không,2019-01-20,Hạ,Đồng bằng,Rừng ngập mặn,31
Chích chòe,111615,375,Có,4.82,Thấp,2,Không,2019-01-27,Xuân,Trung du,Rừng ngập mặn,23
Chích chòe,111838,101,Có,1.16,Thấp,5,Không,2019-02-03,Thu,Đồi núi,Nhiệt đới,62
Chích chòe,112062,101,Một phần,4.38,Thấp,6,Không,2019-02-10,Đông,Đồng bằng,Ôn đới,15
Chích chòe,112286,119,Có,3.47,Trung bình,7,Không,2019-02-17,Đông,Đồng bằng,Ôn đới,73
Chích chòe,112511,116,Có,3.3,Thấp,7,Không,2019-02-24,Xuân,Đồi núi,Nhiệt đới,96
