Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Công,20000,497,Không,1.33,Trung bình,4,Không,2018-01-07,Xuân,Đồi núi,Rừng ngập mặn,15
Công,20025,304,Không,1.48,Trung bình,3,Không,2018-01-14,Hạ,Trung du,Nhiệt đới,10
Công,20050,372,Một phần,4.46,Thấp,1,Không,2018-01-21,Xuân,Đồng bằng,Nhiệt đới,45
Công,20075,470,Không,1.54,Cao,1,Không,2018-01-28,Xuân,Đồng bằng,Nhiệt đới,78
Công,20100,432,Một phần,1.79,Trung bình,3,Không,2018-02-04,Hạ,Đồi núi,Rừng ngập mặn,18
Công,20125,15,Một phần,4.06,Thấp,2,Không,2018-02-11,Thu,Trung du,Ôn đới,19
Công,20150,312,Không,2.7,Thấp,5,Không,2018-02-18,Đông,Trung du,Ôn đới,35
Công,20175,434,Một phần,4.77,Thấp,4,Không,2018-02-25,Hạ,Đồi núi,Rừng ngập mặn,89
Công,20200,359,Có,2.69,Thấp,10,Không,2018-03-04,Xuân,Đồi núi,Ôn đới,53
Công,20226,404,Một phần,3.19,Trung bình,10,Không,2018-03-11,Đông,Đồng bằng,Nhiệt đới,10
Công,20251,394,Không,4.43,Thấp,8,Không,2018-03-18,Hạ,Trung du,Ôn đới,17
Công,20276,298,Một phần,4.97,Thấp,5,Không,2018-03-25,Hạ,Đồi núi,Rừng ngập mặn,78
Công,20302,310,Có,2.99,Thấp,2,Không,2018-04-01,Thu,Đồng bằng,Nhiệt đới,28
Công,20327,367,Một phần,4.71,Thấp,3,Không,2018-04-08,Hạ,Đồi núi,Ôn đới,56
Công,20352,147,Không,1.38,Trung bình,8,Không,2018-04-15,Thu,Đồng bằng,Rừng ngập mặn,36
Công,20378,129,Có,4.04,Trung bình,3,Không,2018-04-22,Thu,Đồng bằng,Nhiệt đới,64
Công,20403,452,Có,3.04,Cao,2,Không,2018-04-29,Hạ,Đồng bằng,Ôn đới,0
Công,20429,325,Có,1.58,Trung bình,7,Không,2018-05-06,Xuân,Đồng bằng,Nhiệt đới,54
Công,20454,303,Một phần,4.99,Thấp,9,Không,2018-05-13,Đông,Trung du,Ôn đới,90
Công,20480,324,Một phần,4.19,Thấp,7,Không,2018-05-20,Xuân,Trung du,Ôn đới,87
Công,20505,196,Có,1.87,Thấp,4,Không,2018-05-27,Đông,Trung du,Nhiệt đới,92
Công,20531,261,Có,2.88,Cao,1,Không,2018-06-03,Đông,Trung du,Ôn đới,11
Công,20557,299,Không,1.19,Thấp,9,Không,2018-06-10,Xuân,Đồi núi,Ôn đới,91
Công,20582,353,Có,4.78,Trung bình,10,Không,2018-06-17,Hạ,Đồi núi,Nhiệt đới,46
Công,20608,26,Không,1.56,Thấp,5,Không,2018-06-24,Đông,Đồng bằng,Nhiệt đới,53
Công,20378,250,Không,3.68,Thấp,6,Không,2018-07-01,Đông,Đồi núi,Ôn đới,24
