Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Cú mèo,50000,60,Không,3.38,Cao,9,Không,2018-01-07,Xuân,Trung du,Ôn đới,59
Cú mèo,50125,410,Không,4.35,Cao,5,Không,2018-01-14,Hạ,Đồng bằng,Nhiệt đới,44
Cú mèo,50250,147,Một phần,1.26,Trung bình,6,Không,2018-01-21,Hạ,Đồi núi,Rừng ngập mặn,11
Cú mèo,50375,132,Một phần,1.91,Trung bình,9,Không,2018-01-28,Đông,Đồng bằng,Ôn đới,6
Cú mèo,50501,219,Không,4.81,Thấp,10,Không,2018-02-04,Hạ,Đồi núi,Rừng ngập mặn,92
Cú mèo,50628,45,Không,1.05,Thấp,10,Không,2018-02-11,Hạ,Trung du,Ôn đới,7
Cú mèo,50754,110,Một phần,1.84,Thấp,1,Không,2018-02-18,Hạ,Đồng bằng,Ôn đới,36
Cú mèo,50881,62,Không,3.66,Trung bình,8,Không,2018-02-25,Hạ,Đồng bằng,Rừng ngập mặn,38
Cú mèo,51008,81,Không,2.44,Cao,2,Không,2018-03-04,Hạ,Trung du,Ôn đới,14
Cú mèo,51136,252,Một phần,4.66,Thấp,3,Không,2018-03-11,Đông,Đồi núi,Rừng ngập mặn,3
Cú mèo,51264,32,Có,4.62,Thấp,7,Không,2018-03-18,Thu,Đồng bằng,Ôn đới,83
Cú mèo,51392,278,Không,2.63,Trung bình,9,Không,2018-03-25,Hạ,Đồi núi,Ôn đới,8
Cú mèo,51520,402,Không,1.88,Trung bình,5,Không,2018-04-01,Thu,Trung du,Ôn đới,4
Cú mèo,51649,104,Một phần,4.81,Thấp,9,Không,2018-04-08,Xuân,Đồi núi,Rừng ngập mặn,5
Cú mèo,51778,430,Không,3.96,Cao,9,Không,2018-04-15,Xuân,Trung du,Ôn đới,7
Cú mèo,51908,399,Một phần,1.3,Cao,5,Không,2018-04-22,Đông,Đồi núi,Nhiệt đới,6
Cú mèo,52037,288,Không,2.63,Cao,1,Không,2018-04-29,Xuân,Trung du,Nhiệt đới,56
Cú mèo,52168,296,Có,1.84,Trung bình,9,Không,2018-05-06,Hạ,Đồng bằng,Rừng ngập mặn,10
Cú mèo,52298,220,Một phần,2.48,Cao,6,Không,2018-05-13,Thu,Đồng bằng,Nhiệt đới,56
Cú mèo,52429,276,Một phần,1.71,Cao,9,Không,2018-05-20,Hạ,Đồi núi,Rừng ngập mặn,81
Cú mèo,52560,119,Không,3.02,Cao,9,Không,2018-05-27,Xuân,Đồng bằng,Ôn đới,51
Cú mèo,52691,205,Có,4.43,Trung bình,3,Không,2018-06-03,Xuân,Đồng bằng,Rừng ngập mặn,7
Cú mèo,52823,67,Có,4.22,Thấp,1,Không,2018-06-10,Hạ,Đồng bằng,Rừng ngập mặn,98
Cú mèo,52955,262,Không,4.82,Thấp,7,Không,2018-06-17,Thu,Trung du,Nhiệt đới,48
Cú mèo,53087,485,Không,2.01,Cao,2,Không,2018-06-24,Thu,Đồi núi,Ôn đới,97
Cú mèo,50628,241,Một phần,1.69,Cao,10,Không,2018-07-01,Thu,Đồng bằng,Rừng ngập mặn,41
Cú mèo,50654,401,Có,3.38,Trung bình,10,Không,2018-07-08,Thu,Trung du,Rừng ngập mặn,74
Cú mèo,50679,290,Một phần,2.51,Trung bình,10,Không,2018-07-15,Xuân,Đồi núi,Rừng ngập mặn,78
Cú mèo,50704,283,Không,3.18,Trung bình,3,Không,2018-07-22,Đông,Đồi núi,Ôn đới,3
Cú mèo,50730,132,Một phần,1.1,Cao,6,Không,2018-07-29,Đông,Đồi núi,Nhiệt đới,100
Cú mèo,50755,256,Có,2.53,Trung bình,3,Không,2018-08-05,Đông,Đồi núi,Rừng ngập mặn,53
Cú mèo,50780,319,Không,1.85,Cao,6,Không,2018-08-12,Hạ,Đồi núi,Rừng ngập mặn,75
Cú mèo,50806,67,Không,1.43,Thấp,5,Không,2018-08-19,Xuân,Đồng bằng,Nhiệt đới,10
Cú mèo,50831,167,Không,3.58,Cao,4,Không,2018-08-26,Đông,Đồi núi,Rừng ngập mặn,4
Cú mèo,50857,195,Một phần,1.36,Trung bình,9,Không,2018-09-02,Xuân,Đồi núi,Nhiệt đới,72
Cú mèo,50882,360,Có,2.72,Thấp,4,Không,2018-09-09,Hạ,Trung du,Rừng ngập mặn,48
Cú mèo,50907,82,Một phần,4.69,Trung bình,1,Không,2018-09-16,Đông,Đồi núi,Ôn đới,21
Cú mèo,50933,149,Có,1.01,Trung bình,8,Không,2018-09-23,Hạ,Trung du,Ôn đới,63
Cú mèo,50958,370,Có,1.28,Thấp,9,Không,2018-09-30,Thu,Đồi núi,Rừng ngập mặn,31
Cú mèo,50984,100,Không,1.17,Cao,2,Không,2018-10-07,Đông,Đồng bằng,Ôn đới,35
Cú mèo,51009,207,Một phần,3.46,Thấp,7,Không,2018-10-14,Hạ,Trung du,Rừng ngập mặn,92
Cú mèo,51035,246,Có,2.35,Cao,5,Không,2018-10-21,Thu,Trung du,Nhiệt đới,79
Cú mèo,51060,270,Một phần,3.22,Cao,2,Không,2018-10-28,Thu,Trung du,Ôn đới,71
Cú mèo,51086,491,Một phần,2.11,Thấp,3,Không,2018-11-04,Hạ,Trung du,Rừng ngập mặn,70
Cú mèo,51111,273,Có,1.56,Cao,2,Không,2018-11-11,Xuân,Trung du,Ôn đới,7
Cú mèo,51137,446,Không,2.31,Thấp,7,Không,2018-11-18,Xuân,Trung du,Nhiệt đới,71
Cú mèo,51163,476,Không,1.51,Trung bình,3,Không,2018-11-25,Thu,Trung du,Rừng ngập mặn,44
Cú mèo,51188,315,Có,2.85,Trung bình,3,Không,2018-12-02,Xuân,Đồi núi,Rừng ngập mặn,72
Cú mèo,51214,137,Không,2.93,Trung bình,3,Không,2018-12-09,Thu,Trung du,Ôn đới,14
Cú mèo,51239,95,Có,2.36,Trung bình,4,Không,2018-12-16,Thu,Đồng bằng,Rừng ngập mặn,49
Cú mèo,51265,246,Một phần,1.47,Trung bình,7,Không,2018-12-23,Đông,Đồi núi,Nhiệt đới,96
Cú mèo,51291,395,Một phần,3.82,Thấp,6,Không,2018-12-30,Đông,Trung du,Nhiệt đới,80
Cú mèo,51987,126,Có,3.15,Thấp,10,Không,2019-01-06,Xuân,Đồi núi,Nhiệt đới,65
Cú mèo,52026,147,Một phần,3.25,Thấp,5,Không,2019-01-13,Hạ,Trung du,Nhiệt đới,42
Cú mèo,52065,74,Có,2.29,Cao,2,Không,2019-01-20,Xuân,Đồi núi,Nhiệt đới,44
Cú mèo,52104,140,Một phần,3.52,Trung bình,2,Không,2019-01-27,Đông,Đồi núi,Ôn đới,3
Cú mèo,52143,433,Một phần,1.19,Trung bình,7,Không,2019-02-03,Hạ,Trung du,Rừng ngập mặn,50
Cú mèo,52183,267,Có,2.44,Thấp,2,Không,2019-02-10,Đông,Đồi núi,Rừng ngập mặn,72
Cú mèo,52222,448,Có,1.19,Trung bình,5,Không,2019-02-17,Hạ,Trung du,Ôn đới,72
