Tên loài,Số lượng,Diện tích sinh sống (km²),Di cư,Tỷ lệ sinh sản,Rủi ro săn mồi,Mối đe dọa môi trường,Sách đỏ,Thời gian,Mùa,Vùng,Loại rừng,Đô thị hóa
Yến núi,10000,461,Có,1.48,Cao,9,Không,2018-01-07,Thu,Trung du,Rừng ngập mặn,70
Yến núi,10037,103,Không,2.72,Thấp,3,Không,2018-01-14,Xuân,Trung du,Ôn đới,56
Yến núi,10075,19,Không,1.43,Cao,7,Không,2018-01-21,Hạ,Đồi núi,Rừng ngập mặn,83
Yến núi,10112,264,Không,1.33,Cao,6,Không,2018-01-28,Đông,Đồng bằng,Nhiệt đới,90
Yến núi,10150,399,Không,4.64,Cao,6,Không,2018-02-04,Hạ,Đồi núi,Ôn đới,7
Yến núi,10188,330,Không,2.6,Cao,10,Không,2018-02-11,Xuân,Đồi núi,Ôn đới,46
Yến núi,10227,17,Không,4.96,Trung bình,2,Không,2018-02-18,Hạ,Đồng bằng,Nhiệt đới,43
Yến núi,10265,400,Có,4.92,Trung bình,6,Không,2018-02-25,Thu,Đồi núi,Ôn đới,72
Yến núi,10303,149,Không,3.48,Thấp,1,Không,2018-03-04,Hạ,Đồi núi,Ôn đới,1
Yến núi,10342,393,Có,3.21,Cao,8,Không,2018-03-11,Thu,Đồi núi,Rừng ngập mặn,61
Yến núi,10381,142,Một phần,2.11,Thấp,6,Không,2018-03-18,Đông,Đồi núi,Ôn đới,30
Yến núi,10420,59,Không,4.42,Trung bình,1,Không,2018-03-25,Xuân,Đồng bằng,Nhiệt đới,90
Yến núi,10459,276,Một phần,1.6,Trung bình,7,Không,2018-04-01,Thu,Trung du,Ôn đới,52
Yến núi,10498,110,Không,4.94,Cao,9,Không,2018-04-08,Hạ,Đồi núi,Rừng ngập mặn,30
Yến núi,10537,210,Có,2.57,Cao,6,Không,2018-04-15,Thu,Trung du,Nhiệt đới,71
Yến núi,10577,313,Một phần,4.97,Cao,8,Không,2018-04-22,Đông,Đồi núi,Rừng ngập mặn,47
Yến núi,10617,285,Không,3.67,Trung bình,8,Không,2018-04-29,Đông,Đồng bằng,Ôn đới,48
Yến núi,10656,353,Không,4.92,Cao,9,Không,2018-05-06,Xuân,Trung du,Nhiệt đới,78
Yến núi,10696,211,Không,3.96,Cao,3,Không,2018-05-13,Hạ,Đồng bằng,Nhiệt đới,54
Yến núi,10737,375,Có,4.82,Trung bình,2,Không,2018-05-20,Thu,Đồi núi,Ôn đới,66
Yến núi,10777,264,Có,2.89,Thấp,4,Không,2018-05-27,Đông,Đồi núi,Nhiệt đới,80
Yến núi,10817,197,Có,3.34,Thấp,6,Không,2018-06-03,Hạ,Đồng bằng,Ôn đới,11
Yến núi,10858,87,Không,2.72,Trung bình,5,Không,2018-06-10,Xuân,Trung du,Ôn đới,40
Yến núi,10899,229,Một phần,1.04,Trung bình,5,Không,2018-06-17,Xuân,Đồi núi,Nhiệt đới,78
Yến núi,10939,39,Có,1.61,Trung bình,10,Không,2018-06-24,Đông,Đồi núi,Ôn đới,77
Yến núi,10317,94,Có,2.15,Trung bình,7,Không,2018-07-01,Đông,Trung du,Nhiệt đới,86
Yến núi,10330,71,Có,3.88,Trung bình,9,Không,2018-07-08,Thu,Đồi núi,Nhiệt đới,7
Yến núi,10343,267,Có,2.16,Trung bình,1,Không,2018-07-15,Đông,Đồi núi,Ôn đới,70
Yến núi,10355,372,Không,1.2,Trung bình,10,Không,2018-07-22,Thu,Trung du,Ôn đới,71
Yến núi,10368,127,Không,3.9,Trung bình,7,Không,2018-07-29,Hạ,Đồi núi,Nhiệt đới,25
Yến núi,10381,489,Không,4.16,Cao,1,Không,2018-08-05,Thu,Đồi núi,Nhiệt đới,50
Yến núi,10394,30,Không,2.65,Cao,5,Không,2018-08-12,Xuân,Đồi núi,Nhiệt đới,12
Yến núi,10407,425,Không,4.7,Cao,3,Không,2018-08-19,Đông,Trung du,Rừng ngập mặn,39
Yến núi,10420,125,Có,4.21,Trung bình,6,Không,2018-08-26,Xuân,Đồng bằng,Nhiệt đới,74
Yến núi,10433,76,Không,1.06,Cao,7,Không,2018-09-02,Xuân,Trung du,Rừng ngập mặn,37
Yến núi,10446,79,Một phần,1.51,Cao,7,Không,2018-09-09,Xuân,Đồng bằng,Ôn đới,38
Yến núi,10459,24,Không,2.74,Trung bình,3,Không,2018-09-16,Xuân,Đồi núi,Ôn đới,98
Yến núi,10473,79,Một phần,3.66,Trung bình,9,Không,2018-09-23,Thu,Đồi núi,Nhiệt đới,26
Yến núi,10486,134,Một phần,2.75,Thấp,3,Không,2018-09-30,Xuân,Đồi núi,Nhiệt đới,20
Yến núi,10499,311,Không,2.23,Thấp,4,Không,2018-10-07,Thu,Trung du,Nhiệt đới,9
Yến núi,10512,372,Một phần,3.91,Thấp,3,Không,2018-10-14,Hạ,Đồi núi,Ôn đới,40
Yến núi,10525,292,Có,2.54,Thấp,10,Không,2018-10-21,Đông,Đồi núi,Rừng ngập mặn,39
Yến núi,10538,181,Không,3.59,Trung bình,4,Không,2018-10-28,Xuân,Trung du,Rừng ngập mặn,30
Yến núi,10551,415,Một phần,1.68,Thấp,1,Không,2018-11-04,Xuân,Đồi núi,Rừng ngập mặn,90
Yến núi,10565,253,Có,4.12,Trung bình,2,Không,2018-11-11,Đông,Trung du,Rừng ngập mặn,59
Yến núi,10578,226,Có,2.71,Thấp,4,Không,2018-11-18,Xuân,Đồi núi,Rừng ngập mặn,55
Yến núi,10591,442,Một phần,2.99,Thấp,3,Không,2018-11-25,Đông,Đồi núi,Nhiệt đới,81
