Time,Species Name,Population,Habitat Area (km²),Migration,Reproduction Rate,Predation Risk,Environmental Threat,Season,Region,Forest Type,Urbanization,Extinction Risk
2018-01-07,Chào mào,120000,329,Có,1.75,Thấp,1,Hạ,Đồng bằng,Nhiệt đới,59,Nguy cơ trung bình
2018-01-07,Yến núi,10000,461,Có,1.48,Cao,9,Thu,Trung du,Rừng ngập mặn,70,Nguy cơ trung bình
2018-01-07,Cú mèo,50000,60,Không,3.38,Cao,9,Xuân,Trung du,Ôn đới,59,Nguy cơ cao
2018-01-07,Cắt nhỏ bụng vàng,40000,299,Có,1.79,Thấp,1,Hạ,Đồng bằng,Rừng ngập mặn,66,Nguy cơ thấp
2018-01-07,Công,20000,497,Không,1.33,Trung bình,4,Xuân,Đồi núi,Rừng ngập mặn,15,Nguy cơ thấp
2018-01-07,Chích chòe,100000,484,Có,1.74,Thấp,10,Hạ,Trung du,Rừng ngập mặn,39,Nguy cơ trung bình
2018-01-07,Cu Gáy,150000,134,Không,4.93,Thấp,7,Đông,Đồng bằng,Nhiệt đới,48,Nguy cơ cao
2018-01-14,Chích chòe,100125,177,Một phần,1.93,Thấp,3,Hạ,Trung du,Ôn đới,21,Nguy cơ thấp
2018-01-14,Cú mèo,50125,410,Không,4.35,Cao,5,Hạ,Đồng bằng,Nhiệt đới,44,Nguy cơ thấp
2018-01-14,Yến núi,10037,103,Không,2.72,Thấp,3,Xuân,Trung du,Ôn đới,56,Không có nguy cơ
2018-01-14,Cu Gáy,150112,390,Có,3.34,Thấp,9,Thu,Đồi núi,Ôn đới,15,Nguy cơ cao
2018-01-14,Công,20025,304,Không,1.48,Trung bình,3,Hạ,Trung du,Nhiệt đới,10,Nguy cơ trung bình
2018-01-14,Chào mào,120119,19,Không,1.26,Trung bình,8,Đông,Đồi núi,Ôn đới,95,Nguy cơ trung bình
2018-01-14,Cắt nhỏ bụng vàng,40100,77,Có,3,Cao,4,Hạ,Đồng bằng,Rừng ngập mặn,70,Nguy cơ thấp
2018-01-21,Chào mào,120240,80,Một phần,1.84,Thấp,2,Thu,Đồi núi,Rừng ngập mặn,58,Nguy cơ trung bình
2018-01-21,Cu Gáy,150225,203,Không,3.94,Trung bình,2,Hạ,Trung du,Ôn đới,50,Nguy cơ cao
2018-01-21,Yến núi,10075,19,Không,1.43,Cao,7,Hạ,Đồi núi,Rừng ngập mặn,83,Nguy cơ trung bình
2018-01-21,Công,20050,372,Một phần,4.46,Thấp,1,Xuân,Đồng bằng,Nhiệt đới,45,Nguy cơ trung bình
2018-01-21,Chích chòe,100250,285,Có,1.1,Cao,9,Xuân,Trung du,Nhiệt đới,83,Nguy cơ trung bình
2018-01-21,Cắt nhỏ bụng vàng,40200,47,Có,4.74,Trung bình,4,Hạ,Đồng bằng,Nhiệt đới,22,Nguy cơ thấp
2018-01-21,Cú mèo,50250,147,Một phần,1.26,Trung bình,6,Hạ,Đồi núi,Rừng ngập mặn,11,Nguy cơ cao
2018-01-28,Chào mào,120360,367,Một phần,2.65,Cao,8,Hạ,Đồng bằng,Nhiệt đới,72,Nguy cơ trung bình
2018-01-28,Yến núi,10112,264,Không,1.33,Cao,6,Đông,Đồng bằng,Nhiệt đới,90,Không có nguy cơ
2018-01-28,Cắt nhỏ bụng vàng,40300,469,Có,2.66,Thấp,7,Thu,Trung du,Ôn đới,30,Nguy cơ thấp
2018-01-28,Cu Gáy,150337,484,Một phần,1.02,Thấp,10,Xuân,Trung du,Ôn đới,17,Nguy cơ cao
2018-01-28,Cú mèo,50375,132,Một phần,1.91,Trung bình,9,Đông,Đồng bằng,Ôn đới,6,Nguy cơ cao
2018-01-28,Chích chòe,100375,260,Một phần,3.41,Cao,4,Xuân,Đồng bằng,Ôn đới,79,Nguy cơ thấp
2018-01-28,Công,20075,470,Không,1.54,Cao,1,Xuân,Đồng bằng,Nhiệt đới,78,Nguy cơ trung bình
2018-02-04,Yến núi,10150,399,Không,4.64,Cao,6,Hạ,Đồi núi,Ôn đới,7,Nguy cơ trung bình
2018-02-04,Công,20100,432,Một phần,1.79,Trung bình,3,Hạ,Đồi núi,Rừng ngập mặn,18,Nguy cơ cao
2018-02-04,Chích chòe,100500,209,Một phần,2.47,Thấp,10,Hạ,Trung du,Ôn đới,97,Nguy cơ thấp
2018-02-04,Cu Gáy,150450,67,Không,1.7,Trung bình,8,Thu,Đồi núi,Ôn đới,10,Nguy cơ cao
2018-02-04,Cú mèo,50501,219,Không,4.81,Thấp,10,Hạ,Đồi núi,Rừng ngập mặn,92,Nguy cơ cao
2018-02-04,Chào mào,120480,373,Có,1.96,Cao,9,Xuân,Đồng bằng,Rừng ngập mặn,25,Nguy cơ trung bình
2018-02-04,Cắt nhỏ bụng vàng,40401,333,Có,2.32,Thấp,3,Hạ,Đồi núi,Nhiệt đới,85,Nguy cơ cao
2018-02-11,Yến núi,10188,330,Không,2.6,Cao,10,Xuân,Đồi núi,Ôn đới,46,Không có nguy cơ
2018-02-11,Công,20125,15,Một phần,4.06,Thấp,2,Thu,Trung du,Ôn đới,19,Không có nguy cơ
2018-02-11,Cu Gáy,150563,360,Có,1.87,Thấp,9,Đông,Trung du,Nhiệt đới,49,Nguy cơ cao
2018-02-11,Chích chòe,100626,485,Có,3.67,Trung bình,8,Xuân,Đồng bằng,Nhiệt đới,11,Nguy cơ thấp
2018-02-11,Cú mèo,50628,45,Không,1.05,Thấp,10,Hạ,Trung du,Ôn đới,7,Nguy cơ thấp
2018-02-11,Cắt nhỏ bụng vàng,40502,265,Một phần,2,Thấp,5,Đông,Đồng bằng,Ôn đới,25,Nguy cơ thấp
2018-02-11,Chào mào,120601,39,Một phần,1.73,Trung bình,8,Đông,Đồng bằng,Rừng ngập mặn,12,Nguy cơ trung bình
2018-02-18,Yến núi,10227,17,Không,4.96,Trung bình,2,Hạ,Đồng bằng,Nhiệt đới,43,Không có nguy cơ
2018-02-18,Cú mèo,50754,110,Một phần,1.84,Thấp,1,Hạ,Đồng bằng,Ôn đới,36,Nguy cơ cao
2018-02-18,Chích chòe,100752,201,Có,2.42,Thấp,3,Thu,Đồng bằng,Rừng ngập mặn,26,Nguy cơ trung bình
2018-02-18,Cắt nhỏ bụng vàng,40603,44,Một phần,2.59,Trung bình,1,Thu,Trung du,Nhiệt đới,50,Nguy cơ thấp
2018-02-18,Chào mào,120721,180,Không,4.9,Thấp,9,Xuân,Đồi núi,Rừng ngập mặn,82,Nguy cơ trung bình
2018-02-18,Cu Gáy,150676,162,Có,1.86,Thấp,7,Thu,Đồng bằng,Ôn đới,64,Nguy cơ cao
2018-02-18,Công,20150,312,Không,2.7,Thấp,5,Đông,Trung du,Ôn đới,35,Nguy cơ thấp
